사이트,시작일,종료일,구좌,브랜드,상품명,프로모션,사은품/주요 메세지,프로모션 출력,상품코드 1,상품코드 2,상품코드 3,상품코드 4,상품코드 5,상품코드 6,상품코드 7,상품코드 8,상품코드 9
G마켓,2024- 01-04,2024- 01-08,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,2+1,ROERANCE | 바디미스트@2+1,832114998,,,,,,,,
G마켓,2024- 01-06,2024- 01-08,!슈퍼딜,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,2+1,BATHPA | 스크럽바디워시@2+1,2397735259,,,,,,,,
옥션,2024- 01-09,2024- 01-11,!올킬,BATHPA,바스솔트,BATHPA | 바스솔트,,BATHPA | 바스솔트@,B581099953,,,,,,,,
스마트스토어,2024-01-13,2024-01-16,!원뿔딜,FRAIJOUR,약쑥토너,FRAIJOUR | 약쑥토너,1+1,FRAIJOUR | 약쑥토너@1+1,8482723620,,,,,,,,
G마켓,2024- 01-15,2024- 01-17,!슈퍼딜,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,2+1,BATHPA | 스크럽바디워시@2+1,2397735259,,,,,,,,
옥션,2024- 01-11,2024- 01-12,!올킬,PEDISON 바디,여성 청결제,PEDISON 바디 | 여성 청결제,1+1,PEDISON 바디 | 여성 청결제@1+1,B377660277,,,,,,,,
옥션,2024- 01-18,2024- 01-19,!올킬,VALMONA,얼쓰 바이탈,VALMONA | 얼쓰 바이탈,1+1,VALMONA | 얼쓰 바이탈@1+1,D424580460,,,,,,,,
G마켓,2024- 01-12,2024- 01-15,!슈퍼딜,BORDO,풋팩,BORDO | 풋팩,x4,BORDO | 풋팩@x4,1501818790,,,,,,,,
G마켓,2024- 01-14,2024- 01-16,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,2+1,PEDISON 바디 | 여성청결제@2+1,483648529,,,,,,,,
옥션,2024- 01-19,2024- 01-22,!올킬,CERACLINIC,프로테인 퀀치 앰플밤,CERACLINIC | 프로테인 퀀치 앰플밤,,CERACLINIC | 프로테인 퀀치 앰플밤@,D860082240,,,,,,,,
G마켓,2024- 01-16,2024- 01-17,!슈퍼딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,465423945,,,,,,,,
G마켓,2024- 01-25,2024- 01-26,!슈퍼딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,465423945,832114998,,,,,,,
G마켓,2024- 01-26,2024- 01-29,!슈퍼딜,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,2+1,BATHPA | 스크럽바디워시@2+1,2397735259,,,,,,,,
G마켓,2024- 01-31,2024- 02-01,!슈퍼딜,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,2+1,BATHPA | 스크럽바디워시@2+1,2397735259,,,,,,,,
옥션,2024- 01-29,2024- 01-30,!올킬,BATHPA,스크럽바디워시,BATHPA | 스크럽바디워시,2+1,BATHPA | 스크럽바디워시@2+1,C561340751,,,,,,,,
G마켓,2024- 02-02,2024- 02-05,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,2+1,PEDISON 바디 | 여성청결제@2+1,483648529,,,,,,,,
옥션,2024- 02-02,2024- 02-05,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
홈앤쇼핑,2024- 02-07,2024- 02-09,!투데이픽,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1+1,ROERANCE | 바디미스트@1+1+1,42782041,,,,,,,,
