kit_id,product_id,multiplier
*30ml 핸드크림 판타지 5,KBHC007,5
*딥 200ml 플로랄 1,MLDMA20,1
*딥 200ml 피치플로랄 1,MLDMA20,1
*딥200ml 피치플로랄 1,MLDMA20,1
*딥200ml 피치플로랄 10,MLDMA20,10
*딥200ml 피치플로랄 2,MLDMA20,2
*망고린스 100ml 5,PDRST04,5
*망고린스100ml 1,PDRST04,1
*망고린스100ml 2,PDRST04,2
*망고린스100ml 5,PDRST04,5
*바디필링패드 3,BTPP001,3
*브리즈 1,RRBM013,1
*브리즈 1 / 피스치약 3,RRBM013,1
*브리즈 1 / 피스치약 3,JCTP002,3
*브리즈 2 / 피스치약 3,RRBM013,2
*브리즈 2 / 피스치약 3,JCTP002,3
*브리즈 3 / 피스치약 6,RRBM013,3
*브리즈 3 / 피스치약 6,JCTP002,6
*블루밍 1,RRBM010,1
*블루밍 1 / 퓨어치약 3,RRBM010,1
*블루밍 1 / 퓨어치약 3,JCTP003,3
*블루밍 2 / 퓨어치약 3,RRBM010,2
*블루밍 2 / 퓨어치약 3,JCTP003,3
*블루밍 2 / 피스치약 3,RRBM010,2
*블루밍 2 / 피스치약 3,JCTP002,3
*블루밍 2 / 허브치약 3,RRBM010,2
*블루밍 2 / 허브치약 3,JCTP002,3
*샤뭐볼 1 / 슈가샴푸파우치 10,SSBCB00,1
*샤뭐볼 1 / 슈가샴푸파우치 10,VMSPP07,10
*샤샤 헤어에센스 1,AOHE001,1
*샤워볼 1  /슈가샴푸파우치 10,SSBCB00,1
*샤워볼 1  /슈가샴푸파우치 10,VMSPP07,10
*샤워볼 1  /커민린스파우치 10,SSBCB00,1
*샤워볼 1  /커민린스파우치 10,VMRSP04,10
*샤워볼 1 /  슈가샴푸파우치 10,SSBCB00,1
*샤워볼 1 /  슈가샴푸파우치 10,VMSPP07,10
*샤워볼 1 / 슈가샴푸파우치 10,SSBCB00,1
*샤워볼 1 / 슈가샴푸파우치 10,VMSPP07,10
*샤워볼 1 / 커민린스파우치 10,SSBCB00,1
*샤워볼 1 / 커민린스파우치 10,VMRSP04,10
*샤워볼 1 / 커민린스파우치 20,SSBCB00,1
*샤워볼 1 / 커민린스파우치 20,VMRSP04,20
*섬유향수 시트러스 1,MLDMB07,1
*섬유향수 시트러스 2,MLDMB07,2
*섬유향수 피치플로랄 1,MLDMA20,1
*섬유향수 피치플로랄 2,MLDMA20,2
*섬유향수 피치플로랄 3,MLDMA20,3
*섬유향수300ml 3종 1,MLDM3T1,1
*세라샴푸 100ml 1,CCSPT01,1
*세라샴푸 100ml 2,CCSPT01,2
*세라샴푸 100ml 5,CCSPT01,5
*세라샴푸100ml 1,CCSPT01,1
*세라샴푸100ML 2,CCSPT01,2
*세라샴푸100ML 4,CCSPT01,4
*세라클리닉 핸드솝 세트 1,CCHW2T1,1
*세라클리닉 핸드솝세트 5,CCHW2T1,5
*슈가샴푸 파우치 10,VMSPP07,10
*슈가샴푸 파우치 20,VMSPP07,20
*슈가샴푸 파우치 50,VMSPP07,50
*슈가샴푸 파우치 60,VMSPP07,60
*슈가샴푸파우치 10,VMSPP07,10
*슈가샴푸파우치 20,VMSPP07,20
*슈가샴푸파우치 20 / 망고린스100ml 2,VMSPP07,20
*슈가샴푸파우치 20 / 망고린스100ml 2,PDRST04,2
*슈가샴푸파우치 30,VMSPP07,30
*슈가샴푸파우치 40,VMSPP07,40
*슈가샴푸파우치 50,VMSPP07,50
*슈가샴푸파우치 60,VMSPP07,60
*슈가샾푸 파우치 10,VMSPP07,10
*슈가샾푸 파우치 20,VMSPP07,20
*슈갸샴푸파우치 10,VMSPP07,10
*스팀소프트바디4종 2,RMXX4T1,2
*약쑥 시트 마스크팩 1,FJMK001,2
*약쑥 시트 마스크팩 1  / 카밍폼 1,FJMK001,1
*약쑥 시트 마스크팩 1  / 카밍폼 1,PDFC001,1
*약쑥 시트 마스크팩 1 / 카밍폼 1,FJMK001,1
*약쑥 시트 마스크팩 1 / 카밍폼 1,PDFC001,1
*약쑥 시트 마스크팩 1 / 카밍폼 10,FJMK001,1
*약쑥 시트 마스크팩 1 / 카밍폼 10,PDFC001,10
*약쑥 시트 마스크팩 1 / 카밍폼 2,FJMK001,1
*약쑥 시트 마스크팩 1 / 카밍폼 2,PDFC001,2
*약쑥 시트 마스크팩 1 /카밍폼 1,FJMK001,1
*약쑥 시트 마스크팩 1 /카밍폼 1,PDFC001,1
*약쑥 시트 마스크팩 1 /카밍폼 2,FJMK001,1
*약쑥 시트 마스크팩 1 /카밍폼 2,PDFC001,2
*약쑥 시트마스크팩 1,FJMK001,1
*약쑥 시트마스크팩 1 / 카밍폼 1,FJMK001,1
*약쑥 시트마스크팩 1 / 카밍폼 1,PDFC001,1
*약쑥 시트마스크팩 1 / 카밍폼 15,FJMK001,1
*약쑥 시트마스크팩 1 / 카밍폼 15,PDFC001,15
*약쑥 시트마스크팩 1 / 카밍폼 2,FJMK001,1
*약쑥 시트마스크팩 1 / 카밍폼 2,PDFC001,2
*약쑥 시트마스크팩 1 / 카밍폼 3,FJMK001,1
*약쑥 시트마스크팩 1 / 카밍폼 3,PDFC001,3
*약쑥 시트마스크팩 1 / 카밍폼 5,FJMK001,1
*약쑥 시트마스크팩 1 / 카밍폼 5,PDFC001,5
*카밍폼 1,PDFC001,1
*카밍폼 2,PDFC001,2
*커민 린스파우치 10,VMRSP04,10
*커민 린스파우치 20,VMRSP04,20
*커민린스파우치 10,VMRSP04,10
*커민린스파우치 20,VMRSP04,20
*커민린스파우치 20 / 세라샴푸100ml 2,VMRSP04,20
*커민린스파우치 20 / 세라샴푸100ml 2,CCSPT01,2
*커민린스파우치 30,VMRSP04,30
*커민린스파우치 40,VMRSP04,40
*커민린스파우치 50,VMRSP04,50
*커민린스파우치 60,VMRSP04,60
*퀀치 1,CCATR01,1
*퀀치 1 / 세라샴푸100ml 3,CCATR01,1
*퀀치 1 / 세라샴푸100ml 3,CCSPT01,3
*퀀치 2 / 세라샴푸 100ml 3,CCATR01,2
*퀀치 2 / 세라샴푸 100ml 3,CCSPT01,3
*퀀치 2 / 세라샴푸100ml 3,CCATR01,2
*퀀치 2 / 세라샴푸100ml 3,CCSPT01,3
*퀀치 3 / 세라샴푸100ml 6,CCATR01,3
*퀀치 3 / 세라샴푸100ml 6,CCSPT01,6
*풋 데오드 2,BDFD001,2
*풋 데오드 4,BDFD001,4
*풋데오드 2,BDFD001,2
*퓨어솝 1,RRBM006,1
*퓨어솝 1 / 허브치약 3,RRBM006,1
*퓨어솝 1 / 허브치약 3,JCTP002,3
*퓨어솝 2,RRBM006,2
*퓨어솝 2 / 피스치약 3,RRBM006,2
*퓨어솝 2 / 피스치약 3,JCTP002,3
*퓨어솝 2 / 허브치약 3,RRBM006,2
*퓨어솝 2 / 허브치약 3,JCTP002,3
*퓨어솝 3,RRBM006,3
*퓨어솝 3 / 허브치약 6,RRBM006,3
*퓨어솝 3 / 허브치약 6,JCTP002,6
*퓨어솝 4 / 허브치약 6,RRBM006,4
*퓨어솝 4 / 허브치약 6,JCTP002,6
*헤어본딩오일 1,VMOL001,1
*휘그펄프 1,NPSS005,1
*휘그펄프 2,NPSS005,2
*힐풋팩 2,BDMK001,2
*힐풋팩 4,BDMK001,4
로에랑스_퍼퓸미스트 250:  체리 + 블루밍,RRBM012,1
로에랑스_퍼퓸미스트 250:  체리 + 블루밍,RRBM010,1
로에랑스_퍼퓸미스트 250: 머스크,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 문라이트,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 문라이트,RRBM004,1
로에랑스_퍼퓸미스트 250: 머스크 + 브리즈,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 브리즈,RRBM013,1
로에랑스_퍼퓸미스트 250: 머스크 + 블루밍,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 블루밍,RRBM010,1
로에랑스_퍼퓸미스트 250: 머스크 + 엔디어링,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 엔디어링,RRBM011,1
로에랑스_퍼퓸미스트 250: 머스크 + 체리,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 체리,RRBM012,1
로에랑스_퍼퓸미스트 250: 머스크 + 퓨어솝,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 퓨어솝,RRBM006,1
로에랑스_퍼퓸미스트 250: 머스크 + 해피데이,RRBM001,1
로에랑스_퍼퓸미스트 250: 머스크 + 해피데이,RRBM002,1
로에랑스_퍼퓸미스트 250: 머스크 x2,RRBM001,2
로에랑스_퍼퓸미스트 250: 머스크 x3,RRBM001,3
로에랑스_퍼퓸미스트 250: 문라이트,RRBM004,1
