promo_group_id,promo_name,promo_type,start_date,end_date,target_kit_id,target_kit_ids,platform_name,condition_qty,gift_qty,gift_kit_id
G_0001,ROERANCE | 바디미스트,Q_BASED,2024-01-04,2024-01-08,832114998,{832114998},G마켓,2,1,
G_0002,BATHPA | 스크럽바디워시,Q_BASED,2024-01-06,2024-01-08,2397735259,{2397735259},G마켓,2,1,
G_0003,BATHPA | 바스솔트,PRICE_ONLY,2024-01-09,2024-01-11,B581099953,{B581099953},옥션,1,0,
G_0004,FRAIJOUR | 약쑥토너,Q_BASED,2024-01-13,2024-01-16,8482723620,{8482723620},스마트스토어,1,1,
G_0005,BATHPA | 스크럽바디워시,Q_BASED,2024-01-15,2024-01-17,2397735259,{2397735259},G마켓,2,1,
G_0006,PEDISON 바디 | 여성 청결제,Q_BASED,2024-01-11,2024-01-12,B377660277,{B377660277},옥션,1,1,
G_0007,VALMONA | 얼쓰 바이탈,Q_BASED,2024-01-18,2024-01-19,D424580460,{D424580460},옥션,1,1,
G_0008,BORDO | 풋팩,PRICE_ONLY,2024-01-12,2024-01-15,1501818790,{1501818790},G마켓,1,0,
G_0009,PEDISON 바디 | 여성청결제,Q_BASED,2024-01-14,2024-01-16,483648529,{483648529},G마켓,2,1,
G_0010,CERACLINIC | 프로테인 퀀치 앰플밤,PRICE_ONLY,2024-01-19,2024-01-22,D860082240,{D860082240},옥션,1,0,
G_0011,ROSEMINE | 스팀소프트,Q_BASED,2024-01-16,2024-01-17,465423945,{465423945},G마켓,5,1,
G_0012,ROSEMINE | 스팀소프트,Q_BASED,2024-01-25,2024-01-26,465423945,"{465423945,832114998}",G마켓,5,1,
G_0013,BATHPA | 스크럽바디워시,Q_BASED,2024-01-26,2024-01-29,2397735259,{2397735259},G마켓,2,1,
G_0014,BATHPA | 스크럽바디워시,Q_BASED,2024-01-31,2024-02-01,2397735259,{2397735259},G마켓,2,1,
G_0015,BATHPA | 스크럽바디워시,Q_BASED,2024-01-29,2024-01-30,C561340751,{C561340751},옥션,2,1,
G_0016,PEDISON 바디 | 여성청결제,Q_BASED,2024-02-02,2024-02-05,483648529,{483648529},G마켓,2,1,
G_0017,ROERANCE | 바디미스트,Q_BASED,2024-02-02,2024-02-05,B619607455,{B619607455},옥션,1,1,
G_0018,ROERANCE | 바디미스트,Q_BASED,2024-02-07,2024-02-09,42782041,{42782041},홈앤쇼핑,1,1,
G_0019,CERACLINIC | 프로테인퀀치앰플밤,PRICE_ONLY,2024-02-02,2024-02-06,3369630885,{3369630885},G마켓,1,0,
G_0020,VALMONA | 얼쓰바이탈샴푸,Q_BASED,2024-02-05,2024-02-06,3015066986,{3015066986},G마켓,1,1,
G_0021,ROERANCE | 바디미스트,Q_BASED,2024-02-10,2024-02-13,42782041,{42782041},홈앤쇼핑,1,1,
G_0022,PEDISON 바디 | 여성청결제,Q_BASED,2024-02-17,2024-02-19,483648529,{483648529},G마켓,2,1,
G_0023,ROERANCE | 바디미스트,Q_BASED,2024-02-15,2024-02-19,832114998,{832114998},G마켓,2,1,
G_0024,BATHPA | 스크럽바디워시,Q_BASED,2024-02-13,2024-02-14,C561340751,{C561340751},옥션,2,1,
G_0025,MIMI 모먼트 | 핸드워시,Q_BASED,2024-02-18,2024-02-20,B722843500,{B722843500},옥션,2,1,
G_0026,ROERANCE | 바디미스트,Q_BASED,2024-02-19,2024-02-21,B619607455,{B619607455},옥션,2,1,
G_0027,VALMONA | 얼쓰바이탈,Q_BASED,2024-02-18,2024-02-20,D424580460,{D424580460},옥션,1,1,
G_0028,FRAIJOUR | 약쑥 토너,Q_BASED,2024-02-21,2024-02-23,1416294630,{1416294630},G마켓,1,1,
G_0029,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-02-22,2024-02-25,1513422925,{1513422925},G마켓,1,1,
G_0030,VALMONA | 서리태샴푸,Q_BASED,2024-02-29,2024-03-04,B334179973,{B334179973},옥션,1,1,
G_0031,PEDISON 바디 | 여성청결제,Q_BASED,2024-03-08,2024-03-11,43355810,{43355810},홈앤쇼핑,1,1,
G_0032,BATHPA | 스크럽바디워시,Q_BASED,2024-02-26,2024-02-28,2397735259,{2397735259},G마켓,2,1,
G_0033,ROERANCE | 바디미스트,Q_BASED,2024-03-01,2024-03-04,832114998,{832114998},G마켓,2,1,
G_0034,BATHPA | 스크럽바디워시,Q_BASED,2024-02-29,2024-03-04,C561340751,{C561340751},옥션,2,1,
G_0035,MIMI 모먼트 | 핸드워시,Q_BASED,2024-03-02,2024-03-04,B722843500,{B722843500},옥션,2,1,
G_0036,ROERANCE | 바디미스트,Q_BASED,2024-03-03,2024-03-04,B619607455,{B619607455},옥션,2,1,
G_0037,VALMONA | 얼쓰바이탈,Q_BASED,2024-03-06,2024-03-08,D424580460,{D424580460},옥션,1,1,
G_0038,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-03-02,2024-03-04,1513422925,{1513422925},G마켓,1,1,
G_0039,MIMI 퍼퓸 | 딥퍼퓸300,Q_BASED,2024-03-06,2024-03-08,2274072838,{2274072838},G마켓,1,1,
G_0040,ROERANCE | 바디미스트,Q_BASED,2024-03-12,2024-03-14,832114998,{832114998},G마켓,1,1,
G_0041,BATHPA | 스크럽바디워시,Q_BASED,2024-03-13,2024-03-15,2397735259,{2397735259},G마켓,2,1,
G_0042,ROERANCE | 바디미스트,Q_BASED,2024-03-15,2024-03-18,B619607455,{B619607455},옥션,2,1,
G_0043,ROERANCE | 바디미스트,Q_BASED,2024-03-14,2024-03-20,42782041,"{42782041,42782041 004}",홈앤쇼핑,1,1,
G_0044,BATHPA | 스크럽바디워시,Q_BASED,2024-03-19,2024-03-20,C561340751,{C561340751},옥션,2,1,
G_0045,PEDISON 바디 | 여성청결제,Q_BASED,2024-03-24,2024-03-25,483648529,{483648529},G마켓,1,1,
G_0046,MIMI 퍼퓸 | 드레스퍼퓸,Q_BASED,2024-03-22,2024-03-25,B594363332,{B594363332},옥션,1,1,
G_0047,VALMONA | 청소년샴푸,Q_BASED,2024-03-19,2024-03-20,D424580460,{D424580460},옥션,1,1,
G_0048,BATHPA | 스크럽워시,Q_BASED,2024-03-20,2024-03-25,1009799783,"{1009799783,1009799783004,1009799783005,1009799783006,1009799783007}",GS이숍,2,1,
G_0049,ROERANCE | 바디미스트,Q_BASED,2024-03-22,2024-03-25,832114998,{832114998},G마켓,2,1,
G_0050,BATHPA | 스크럽워시,Q_BASED,2024-03-23,2024-03-25,2397735259,{2397735259},G마켓,2,1,
G_0051,ROERANCE | 바디미스트,Q_BASED,2024-03-26,2024-03-28,B619607455,{B619607455},옥션,2,1,
G_0052,FRAIJOUR | 약쑥수분크림,Q_BASED,2024-03-24,2024-03-25,50703532001,{50703532001},GS이숍,1,1,
G_0053,BATHPA | 스크럽워시,Q_BASED,2024-03-26,2024-03-28,1.0098E+12,"{1009799783004,1009799783005,1009799783006,1009799783007}",GS이숍,2,1,
G_0054,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-03-26,2024-03-28,1513422925,{1513422925},G마켓,1,1,
G_0055,PEDISON 바디 | 여성 청결제,Q_BASED,2024-03-24,2024-03-25,B377660277,{B377660277},옥션,1,1,
G_0056,ROERANCE | 바디미스트,Q_BASED,2024-03-22,2024-03-25,36368524001,"{36368524001,36368524002,36368524004,36368524006,36368524008,36368524009,36368524010,36368524011}",GS이숍,2,1,
G_0057,PEDISON 바디 | 여성청결제,Q_BASED,2024-03-31,2024-04-01,18182254005,"{18182254005,18182254003,18182254004}",GS이숍,1,1,
G_0058,BATHPA | 바스솔트,PRICE_ONLY,2024-03-28,2024-03-29,B581099953,{B581099953},옥션,1,0,
G_0059,ROERANCE | 바디미스트,Q_BASED,2024-04-03,2024-04-04,832114998,{832114998},G마켓,2,1,
G_0060,MIMI 모먼트 | 핸드워시,Q_BASED,2024-03-29,2024-04-01,B722843500,{B722843500},옥션,2,1,
G_0061,BATHPA | 스크럽워시,PRICE_ONLY,2024-04-04,2024-04-07,2397735259,{2397735259},G마켓,1,0,
G_0062,BATHPA | 스크럽바디워시,PRICE_ONLY,2024-04-01,2024-04-03,C561340751,{C561340751},옥션,1,0,
G_0063,ROERANCE | 바디미스트,Q_BASED,2024-04-02,2024-04-03,B619607455,{B619607455},옥션,2,1,
